문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q6065,L04,3,계산,학습,한 모서리의 길이가 6 cm인 정육면체에서 밑면의 반지름이 3 cm이고 높이가 6 cm인 원기둥을 파냈다. 남은 입체의 부피는? (단 π = 3.14로 계산),216 - 54π cm³,정육면체 부피 = 6³ = 216 cm³. 원기둥 부피 = π × 3² × 6 = 54π cm³. 남은 부피 = 216 - 54π cm³이다.,216 - 18π cm³,L04,원기둥 부피를 π × 3 × 6 = 18π로 r 대신 r을 사용한 오답이다. πr²h = 54π이다.,216 + 54π cm³,L04,파낸 입체이므로 빼야 한다. 남은 부피 = 216 - 54π cm³이다.,54π cm³,L04,원기둥 부피만 계산하고 정육면체에서 빼지 않은 오답이다.,162 cm³,L04,π를 무시하고 계산한 오답이다. 남은 부피는 216 - 54π cm³이다.,
Q6066,L04,3,응용,학습,"밑면의 반지름이 r, 높이가 3r인 원뿔과 반지름이 r인 구의 부피의 합은?",(7/3)πr³,원뿔 부피 = (1/3)πr²×3r = πr³. 구 부피 = (4/3)πr³. 합 = πr³ + (4/3)πr³ = (3/3 + 4/3)πr³ = (7/3)πr³이다.,πr³,L04,원뿔 부피만 계산하고 구 부피를 더하지 않은 오답이다.,(4/3)πr³,L04,구 부피만 계산하고 원뿔 부피를 더하지 않은 오답이다.,(5/3)πr³,L04,원뿔 부피를 (2/3)πr³로 잘못 계산한 오답이다. 원뿔 = (1/3)πr²×3r = πr³이다.,2πr³,L04,합계를 2πr³으로 잘못 계산한 오답이다. 합 = πr³ + (4/3)πr³ = (7/3)πr³이다.,
Q6067,L04,3,응용,학습,"밑면의 반지름이 2 cm, 높이가 6 cm인 원기둥 안에 꼭 맞는 원뿔을 넣을 때 원기둥의 부피와 원뿔의 부피의 차는?",16π cm³,원기둥 부피 = π×4×6 = 24π cm³. 원뿔 부피 = (1/3)×π×4×6 = 8π cm³. 차 = 24π - 8π = 16π cm³이다.,8π cm³,L04,원뿔의 부피 값이다. 차이를 구하려면 원기둥 부피(24π)에서 빼야 한다.,24π cm³,L04,원기둥의 부피 값이다. 차이를 구하려면 원뿔 부피(8π)를 빼야 한다.,32π cm³,L04,잘못된 계산이다. 차 = 24π - 8π = 16π cm³이다.,4π cm³,L04,잘못된 계산이다. 원기둥 24π - 원뿔 8π = 16π cm³이다.,
Q6297,L04,3,선택형,학습,"밑면의 반지름과 높이가 모두 r인 원기둥 안에 꼭 맞게 들어가는 구의 반지름은? (단, 구가 원기둥에 내접)",r/2,"원기둥의 높이=2r인 경우가 내접 구. 여기서 높이=r이면 구의 지름=r, 반지름=r/2",r,L04,원기둥 반지름=구 반지름으로 혼동,2r,L04,원기둥 높이를 구의 지름으로 혼동,r/3,L04,잘못된 비율 적용,√2·r/2,L04,대각선 관계를 잘못 적용,
Q6298,L04,3,선택형,학습,"밑면 반지름 r, 높이 2r인 원기둥의 부피와 반지름 r인 구의 부피의 비는?",3 : 2,원기둥: πr²×2r=2πr³. 구: (4/3)πr³. 비=2πr³:(4/3)πr³=2:4/3=6:4=3:2,2 : 3,L04,비의 순서를 반대로 읽는 오류,3 : 4,L04,(4/3)을 (4/4)=1로 계산하는 오류,1 : 1,L04,두 부피가 같다고 착각,2 : 1,L04,구 부피를 (2/3)πr³으로 잘못 기억,
Q6528,L04,3,계산,학습,"밑면의 반지름이 3 cm, 높이가 9 cm인 원기둥 안에 반지름이 3 cm인 구 하나를 넣었다. 원기둥에서 구를 제외한 나머지의 부피는?",(81π-36π) = 45π cm³,원기둥 부피=πr²h=π×9×9=81π cm³. 구 부피=(4/3)πr³=(4/3)π×27=36π cm³. 나머지=81π-36π=45π cm³.,81π cm³,L04,원기둥 부피 전체를 답한 오답이다. 구를 뺀 나머지=81π-36π=45π cm³이다.,36π cm³,L04,구의 부피만 답한 오답이다. 구를 뺀 나머지=81π-36π=45π cm³이다.,117π cm³,L04,원기둥+구를 더한 오답이다. 나머지=원기둥-구=81π-36π=45π cm³이다.,63π cm³,L04,구 부피를 (4/3)πr³ 대신 다른 값으로 계산한 오답이다. 구=(4/3)π×27=36π cm³이다.,
Q6529,L04,3,응용,학습,"원기둥 모양 그릇(밑면의 반지름 6 cm, 높이 10 cm)에 물이 가득 차 있다. 이 물을 같은 밑면의 반지름과 높이를 가진 원뿔 모양 그릇에 옮긴다면 원뿔 그릇을 몇 번 채울 수 있는가?",3번,원기둥 부피=π×36×10=360π cm³. 원뿔 부피=(1/3)×360π=120π cm³. 360π÷120π=3번.,1번,L04,원기둥과 원뿔의 부피가 같다고 착각한 오답이다. 원뿔은 원기둥의 1/3이므로 3번이다.,2번,L04,원뿔이 원기둥의 1/2이라고 착각한 오답이다. 원뿔은 1/3이므로 3번이다.,9번,L04,원뿔이 원기둥의 1/9이라고 착각한 오답이다. 원뿔=원기둥×(1/3)이므로 3번이다.,6번,L04,원뿔이 원기둥의 1/6이라고 착각한 오답이다. 원뿔=원기둥×(1/3)이므로 3번이다.,
Q6811,L04,3,계산,학습,"밑면의 반지름이 4 cm, 높이가 9 cm인 원기둥 안에 꼭 맞는 원뿔의 부피는?",48π cm³,원뿔 부피=(1/3)πr²h=(1/3)π×16×9=48π cm³.,144π cm³,L04,원기둥 부피로 계산한 오답이다.,24π cm³,L04,(1/3) 대신 (1/6)을 적용한 오답이다.,16π cm³,L04,높이를 빠뜨린 오답이다.,36π cm³,L04,잘못 계산한 오답이다.,
Q6812,L04,3,추론,학습,반지름이 3 cm인 구와 밑면의 반지름이 3 cm인 원기둥의 부피가 같다. 원기둥의 높이 h는?,4 cm,구 부피=(4/3)π×27=36π. 원기둥 부피=π×9×h=9πh. 9πh=36π. h=4 cm.,3 cm,L04,반지름을 높이로 쓴 오답이다.,8 cm,L04,두 배로 계산한 오답이다.,12 cm,L04,4r로 계산한 오답이다.,2 cm,L04,반으로 나눈 오답이다.,
Q6813,L04,3,응용,학습,한 모서리의 길이가 6 cm인 정육면체에서 한 꼭짓점에서 만나는 세 모서리를 변으로 하는 삼각뿔을 잘라낼 때 남은 입체의 부피는?,180 cm³,정육면체 부피=216 cm³. 삼각뿔: 직각변 각 6 cm 세 개. 부피=(1/3)×(1/2×6×6)×6=36 cm³. 나머지=216-36=180 cm³.,216 cm³,L04,잘라내지 않은 부피를 쓴 오답이다.,144 cm³,L04,삼각뿔 부피를 잘못 계산한 오답이다.,108 cm³,L04,삼각뿔 부피를 1/2로 잘못 계산한 오답이다.,72 cm³,L04,삼각뿔을 더 크게 잡은 오답이다.,
