문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q169,P03,3,전개,학습,(x + 1/2)(x - 3),x² - 5x/2 - 3/2,중간 항 (1/2-3)x = -5x/2 끝 항 (1/2)·(-3) = -3/2,x² - 3/2,P03,중간 항 빠뜨림,x² + x/2 - 3,P03,중간 부호 잘못,x² - 5x/2 + 3/2,P03,끝 항 부호 잘못. 양음 = 음,x² - 5x - 3/2,P03,중간 항 계수 잘못,algebra-tile:(x+a)(x+b)
Q453,P03,3,전개,학습,(x + 10)(x - 3) 을 전개하시오,x² + 7x - 30,x² + (10-3)x + (10)(-3) = x² + 7x - 30,x² + 13x - 30,P03,중간항 잘못. 10-3 = 7 인데 10+3 으로,x² + 7x + 30,P03,끝항 부호 잘못,x² - 7x - 30,I02,중간항 부호 잘못,x² - 30,P03,중간항 빠짐,algebra-tile:(x+a)(x+b)
Q454,P03,3,전개,학습,(x - 1/2)(x + 4) 를 전개하시오,x² + 7x/2 - 2,x² + (-1/2+4)x + (-1/2)(4) = x² + 7x/2 - 2,x² - 7x/2 - 2,I02,중간항 부호 잘못. -1/2 + 4 = 7/2,x² + 7x/2 + 2,P03,끝항 부호 잘못,x² + 9x/2 - 2,P03,중간항 잘못. -1/2 + 4 인데 1/2 + 4 로,x² - 2,P03,중간항 빠짐,algebra-tile:(x+a)(x+b)
Q455,P03,3,응용,학습,x² - 5x + 6 = (x + a)(x + b) 일 때 a + b 의 값은?,-5,곱셈공식 비교: a + b = 중간항 계수 = -5,5,P03,부호 빼먹음. 중간항이 -5x 이므로 a+b = -5,6,P03,끝항 ab = 6 와 혼동,-1,P03,구체값 -2 -3 합산을 +1 로 잘못,1,P03,부호와 합산 둘 다 잘못,algebra-tile:(x+a)(x+b)
Q1323,P03,3,응용,학습,(x-2)(x+a) = x²+bx-10 일 때 a+b 의 값은?,8,"(x-2)(x+a) = x²+(a-2)x-2a 이고 -2a=-10 이면 a=5, b=a-2=3, a+b=8",3,P03,b=3 만 구하고 a+b=8 대신 b=3 으로 답,5,P03,a=5 만 구하고 a+b=8 대신 a=5 로 답,7,P03,"-2a=-10 에서 a=5 대신 a=5 이고 b=a-2=3 이 아닌 b=a-3=2, a+b=7 로 계산",-2,P03,b = a-2 에서 a+b 대신 a-2 = b = 3 을 a-2 = -2 로 혼동,
Q1324,P03,3,계산,학습,102 × 103 을 (x+a)(x+b) 공식으로 계산하면?,10506,(100+2)(100+3) = 100²+(2+3)×100+2×3 = 10000+500+6 = 10506,10506이 아닌 다른 값,P03,공식을 잘못 적용,10500,P03,2×3=6 을 누락하고 10000+500 = 10500 으로 계산,10512,P03,2+3=5 대신 2×3=6 을 x 계수에 쓰고 5×100=500 대신 6×100=600 으로 처리,10000,P03,100² = 10000 만 계산하고 나머지 항 500+6 을 누락,
Q1325,P03,3,응용,학습,(x+3)(x-k) = x²-2x+m 일 때 k+m 의 값은?,-10,"(x+3)(x-k) = x²+(3-k)x-3k 이고 3-k=-2 이면 k=5, m=-3k=-15, k+m=5+(-15)=-10",-20,P03,"k=5, m=-15 로 올바르게 구했으나 k+m=-10 이 아닌 k×m=-75 를 잘못 계산",10,P03,k+m = 5+(-15) = -10 인데 절댓값 10 으로 답,-5,P03,k=5 를 구하고 m 계산 없이 k 부호만 바꿔 -5 로 답,20,P03,"3-k = -2 에서 k = 5 대신 k = -5 로 잘못 풀어 m = 15, k+m = 10 이 아닌 -5+15=10 혼동",
Q2113,P03,3,응용,학습,"(x + m)(x + n) = x² - 7x + 12 일 때, m² + n² 의 값은?",25,"x²+(m+n)x+mn=x²-7x+12 이므로 m+n=-7, mn=12이다. m²+n²=(m+n)²-2mn=49-24=25이다.",49,P03,m²+n²=(m+n)²=49로 2mn을 빼지 않은 경우이다.,73,P03,부호 실수로 m²+n²=(m+n)²+2mn=49+24=73으로 계산한 경우이다.,1,P03,m²+n²=(m-n)²으로 혼동하여 계산한 경우이다.,-7,P03,m²+n²을 m+n=-7로 오인한 경우이다.,
Q2114,P03,3,응용,학습,"x = 103 일 때, x² - 6x + 8 의 값은?",9999,x²-6x+8=(x-2)(x-4)이므로 x=103일 때 101×99=(100+1)(100-1)=100²-1=9999이다.,10100,P03,101×99를 101×100=10100으로 계산한 경우이다.,9801,P03,99²=9801로 잘못 계산한 경우이다.,10201,P03,101²=10201로 잘못 계산한 경우이다.,9998,P03,101×99를 계산할 때 결과를 9999가 아닌 9998로 실수한 경우이다.,
Q2115,P03,3,전개,학습,(x - 2y)(x + 5y) 를 전개하면?,x² + 3xy - 10y²,"(x+a)(x+b)에서 a=-2y, b=5y이므로 x²+(-2y+5y)x+(-2y)(5y)=x²+3xy-10y²이다.",x² + 3xy + 10y²,P03,(-2y)(5y)=-10y²인데 부호를 반대로 하여 +10y²로 계산한 경우이다.,x² - 3xy - 10y²,P03,xy항의 부호를 반대로 하여 -3xy로 계산한 경우이다.,x² + 10y²,P03,중간항 +3xy를 누락하고 부호도 실수한 경우이다.,x² - 7xy - 10y²,P03,a+b=-2y+5y=3y인데 a-b=-2y-5y=-7y로 잘못 계산한 경우이다.,
