문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q019,N02,1,계산,진단,17 ÷ 5 의 몫과 나머지를 구하시오,몫 3 나머지 2,17 = 5×3 + 2,몫 2 나머지 7,N02,몫과 나머지가 거꾸로,몫 4 나머지 -3,N02,나머지는 음수가 될 수 없어요. 몫을 1 줄이세요,몫 3 나머지 5,N02,나머지는 나누는 수보다 작아야 해요. 5 이상이면 몫을 1 늘려야,3.4,N02,몫·나머지로 답하라고 했는데 소수로 답함,
Q021,N02,1,개념,학습,23 ÷ 4 의 결과를 분수로 나타내면?,5와 3/4,몫 5 나머지 3 → 5+3/4,5와 4/3,N02,분자분모를 거꾸로 적었어요,5와 3/23,N02,분모를 잘못. 나누는 수가 분모,5와 4/23,F01,분자도 분모도 잘못 골랐어요,5.75,F06,소수로 답함. 분수로 답해야 해요,
Q946,N02,1,계산,학습,47 ÷ 8의 몫과 나머지를 구하시오.,"몫 5, 나머지 7","5×8=40, 47-40=7이므로 몫은 5, 나머지는 7이다.","몫 6, 나머지 0",N02,6×8=48>47이어서 몫이 6이 될 수 없는데 나머지를 0으로 오인함.,"몫 5, 나머지 8",N02,나머지를 나누는 수와 같은 8로 잘못 구함.,"몫 4, 나머지 7",N02,4×8=32에서 나머지 15로 계산해야 하는데 몫을 한 단계 낮게 구함.,"몫 5, 나머지 2",N02,47-50=-3의 절댓값 또는 계산 실수로 나머지를 잘못 구함.,
Q947,N02,1,계산,학습,83 ÷ 9의 몫과 나머지를 구하시오.,"몫 9, 나머지 2","9×9=81, 83-81=2이므로 몫은 9, 나머지는 2이다.","몫 10, 나머지 0",N02,10×9=90>83이어서 몫이 10이 될 수 없는데 올림하여 오인함.,"몫 9, 나머지 3",N02,83-81=2를 계산하지 않고 3으로 실수함.,"몫 8, 나머지 2",N02,8×9=72이므로 나머지는 11인데 몫과 나머지 모두 잘못 설정함.,"몫 9, 나머지 9",N02,나머지를 나누는 수 9로 잘못 취함.,
Q949,N02,1,응용,학습,"연필 50자루를 7명에게 똑같이 나눠주려 한다. 한 명당 몇 자루씩 받고, 몇 자루가 남는가?","7자루씩, 1자루 남음",50 ÷ 7 = 7 ... 1 (7×7=49). 한 명당 7자루씩 받고 1자루 남는다.,"8자루씩, 0자루 남음",N02,8×7=56>50이어서 불가능한데 각자 8자루 배분이라고 오인함.,"7자루씩, 0자루 남음",N02,몫만 구하고 나머지 1자루를 무시함.,"7자루씩, 7자루 남음",N02,나머지를 실제 1이 아니라 나누는 수 7로 착각함.,"6자루씩, 8자루 남음",N02,"6×7=42, 50-42=8을 나머지로 보지만 몫을 한 단계 낮게 구함.",
Q1736,N02,1,계산,학습,91 ÷ 13의 나머지는?,0,91=13×7이므로 나누어 떨어지며 나머지는 0입니다.,1,N02,마지막 뺄셈에서 실수해 나머지를 1로 계산한 오류입니다.,7,N02,몫 7을 나머지로 혼동한 실수입니다.,13,N02,나누는 수 13을 나머지로 혼동한 오류입니다.,5,N01,곱셈 구구단 실수로 나머지를 잘못 계산한 경우입니다.,
Q1737,N02,1,계산,학습,64 ÷ 9의 몫은?,7,9×7=63이므로 64÷9의 몫은 7이고 나머지는 1입니다.,8,N01,9×8=72>64임에도 몫을 8로 쓴 곱셈 확인 실수입니다.,6,N02,9×6=54로 나머지가 10이 되는데 한 번 더 나눠야 함을 놓친 오류입니다.,1,N02,나머지 1을 몫으로 혼동한 실수입니다.,9,N02,나누는 수 9를 답으로 혼동한 경우입니다.,
Q1739,N02,1,응용,학습,"복숭아 65개를 9명에게 똑같이 나눠 줄 때, 남는 복숭아는 몇 개인가?",2,65=9×7+2이므로 한 명당 7개씩 나눠주고 2개가 남습니다.,7,N02,몫 7을 나머지로 혼동한 실수입니다.,9,N02,나누는 수 9를 나머지로 혼동한 오류입니다.,0,N02,나누어 떨어진다고 잘못 가정한 경우입니다.,5,N02,65의 일의 자리 숫자 5를 나머지로 혼동한 실수입니다.,
Q1742,N02,1,계산,학습,"□ ÷ 6 = 9 … 4일 때, □의 값은?",58,검산식 6×9+4=54+4=58이므로 □=58입니다.,54,N02,6×9=54만 계산하고 나머지 4를 더하지 않은 실수입니다.,62,N02,4 대신 8을 더하여 54+8=62로 계산한 오류입니다.,64,N02,몫을 9 대신 10으로 잘못 읽어 6×10+4=64로 계산한 실수입니다.,50,N02,54-4=50으로 나머지를 빼는 실수입니다.,
Q1744,N02,1,개념,학습,9로 나누었을 때 나머지가 될 수 없는 수는?,9,나머지는 나누는 수보다 반드시 작아야 하므로 9로 나눌 때 나머지는 0~8까지만 가능합니다.,0,N02,0은 나머지가 될 수 있으나 될 수 없다고 혼동한 실수입니다.,3,N02,3은 나머지가 될 수 있는데 될 수 없다고 오해한 경우입니다.,8,N02,8은 9보다 작으므로 나머지가 될 수 있는데 혼동한 실수입니다.,7,N02,7도 9보다 작으므로 나머지가 될 수 있는데 혼동한 오류입니다.,
Q1745,N02,1,응용,학습,"학생 79명을 한 모둠에 6명씩 나눌 때, 만들어지는 완전한 모둠 수는?",13,79=6×13+1이므로 완전한 모둠은 13개이고 1명이 남습니다.,14,N02,나머지 1명도 한 모둠으로 계산해 14로 쓴 실수입니다.,12,N02,6×12=72이지만 나머지 7이 남아 한 번 더 나눌 수 있는데 멈춘 오류입니다.,6,N02,나누는 수 6을 답으로 혼동한 경우입니다.,1,N02,몫이 아닌 나머지 1을 답으로 쓴 실수입니다.,
Q2527,N02,1,응용,학습,사탕 96개를 7개씩 봉지에 담으려 한다. 몇 봉지가 되고 남는 사탕은 몇 개인가?,"13봉지, 5개",96÷7=13…5이므로 96=7×13+5. 13봉지이고 5개 남음,"14봉지, 0개",N02,96÷7≒13.7을 올림해 14로 계산하고 나머지는 0으로 처리,"12봉지, 5개",N02,"7×12=84, 96-84=12이므로 나머지 12인데 봉지 수만 틀려 12로 씀","13봉지, 7개",N02,나머지를 나누는 수 7과 같게 잘못 계산,"14봉지, 2개",N02,"7×14=98, 98-96=2를 남는 수로 혼동",
Q2530,N02,1,계산,학습,168 ÷ 15의 몫과 나머지를 구하시오.,"몫 11, 나머지 3","15×11=165, 168-165=3. 몫=11, 나머지=3","몫 10, 나머지 18",N02,"15×10=150, 168-150=18이나 나머지가 나누는 수보다 크므로 검산 생략","몫 12, 나머지 8",N02,"15×12=180, 180>168이므로 틀렸지만 몫을 12로 씀","몫 11, 나머지 0",N02,나머지 3을 빠뜨리고 나누어 떨어진다고 잘못 처리,"몫 11, 나머지 13",N02,168-155=13으로 15×11=155라고 잘못 계산,
Q2533,N02,1,응용,학습,"달걀 117개를 12개씩 한 판에 담을 때, 완전한 판은 몇 개이고 남는 달걀은 몇 개인가?","9판, 9개","117÷12=9…9이므로 117=12×9+9. 완전한 판 9개, 남는 달걀 9개","10판, 0개",N02,"117÷12≒9.75를 올림해 10판, 나머지 0으로 처리","9판, 7개",N02,"12×9=108, 117-108=9이지만 나머지를 7로 잘못 계산","9판, 3개",N02,"12×9=108, 나머지 9를 3으로 계산 실수","8판, 9개",N02,"12×8=96, 나머지 21이 12보다 크므로 한 판을 더 채울 수 있는데 확인하지 않음",
Q3316,N02,1,계산,학습,74 ÷ 9의 몫과 나머지를 구하시오.,"몫 8, 나머지 2","9×8=72, 74-72=2. 나머지 2<9이므로 몫은 8, 나머지는 2.","몫 7, 나머지 11",N02,"9×7=63, 74-63=11이지만 나머지가 나누는 수보다 크므로 잘못된 답","몫 9, 나머지 -7",N02,9×9=81>74이지만 계속 진행하여 음수 나머지를 씀,"몫 8, 나머지 0",N02,74가 9의 배수라고 착각하여 나머지를 0으로 씀,"몫 8, 나머지 3",N02,74-9×8=74-72=2인데 계산 실수로 3으로 씀,
Q3317,N02,1,계산,학습,94 ÷ 11의 몫은?,8,"11×8=88, 11×9=99>94이므로 몫은 8.",9,N02,11×9=99>94이지만 몫을 9로 씀,7,N02,11×7=77로 부족한 것을 인식하지 못하고 몫을 7로 씀,6,N02,나머지 6을 몫으로 착각,11,N02,나누는 수와 몫을 혼동,
Q3320,N02,1,계산,학습,181 ÷ 14의 나머지는?,13,"14×12=168, 181-168=13. 나머지 13<14.",12,N02,몫 12를 나머지로 착각,1,N02,14×13=182>181이지만 182-181=1을 나머지로 씀,11,N02,14×12=168이 아닌 14×12=170으로 잘못 계산하여 181-170=11,0,N02,181이 14의 배수라고 착각하여 나머지를 0으로 씀,
